Year,Pitch Type,Velocity,Pitch Outcome,Zone,Spin Rate,Plate Appearance Outcome
2018,Split-Finger,85.9,ball,11.0,902.0,
2018,Split-Finger,88.2,swinging_strike,5.0,1091.0,strikeout
2018,Split-Finger,87.9,swinging_strike,14.0,1321.0,
2018,Sweeper,81.6,called_strike,9.0,2313.0,
2018,4-Seam Fastball,98.5,called_strike,9.0,2170.0,strikeout
2018,Sweeper,80.0,swinging_strike,14.0,2266.0,
2018,Sweeper,81.0,ball,14.0,2277.0,
2018,4-Seam Fastball,94.3,called_strike,2.0,2068.0,
2018,Split-Finger,88.3,swinging_strike_blocked,14.0,1496.0,strikeout
2018,Sweeper,83.2,swinging_strike,6.0,2450.0,
2018,Sweeper,78.5,called_strike,4.0,2379.0,
2018,Sweeper,81.4,called_strike,2.0,2510.0,strikeout
2018,Curveball,79.5,ball,11.0,2471.0,
2018,4-Seam Fastball,98.5,ball,12.0,2263.0,
2018,Split-Finger,87.0,called_strike,9.0,1217.0,
2018,4-Seam Fastball,97.1,foul,8.0,2201.0,
2018,4-Seam Fastball,97.6,hit_into_play,6.0,2028.0,single
2018,4-Seam Fastball,97.8,ball,14.0,2231.0,
2018,Curveball,73.5,swinging_strike,4.0,2296.0,
2018,4-Seam Fastball,97.9,ball,14.0,2155.0,
2018,Split-Finger,88.3,swinging_strike,9.0,1089.0,strikeout
2018,4-Seam Fastball,94.7,foul,5.0,2091.0,
2018,4-Seam Fastball,93.1,called_strike,1.0,1969.0,
2018,Split-Finger,87.3,hit_into_play,3.0,,field_out
2018,Split-Finger,86.9,called_strike,3.0,1232.0,
2018,Sweeper,81.6,swinging_strike,9.0,2339.0,strikeout
2018,4-Seam Fastball,97.4,ball,13.0,2183.0,
2018,Sweeper,82.1,foul,8.0,2309.0,
2018,Sweeper,82.3,foul,14.0,2469.0,
2018,Curveball,74.3,foul,5.0,2484.0,
2018,4-Seam Fastball,95.8,called_strike,13.0,2170.0,
2018,4-Seam Fastball,96.3,ball,11.0,2085.0,
2018,4-Seam Fastball,97.2,ball,13.0,2045.0,
2018,4-Seam Fastball,95.4,hit_into_play,5.0,2132.0,field_out
2018,4-Seam Fastball,95.9,ball,11.0,2194.0,
2018,Split-Finger,85.1,blocked_ball,14.0,1419.0,
2018,Curveball,72.9,called_strike,2.0,2460.0,
2018,Curveball,72.8,ball,9.0,2416.0,
2018,4-Seam Fastball,95.0,called_strike,1.0,2143.0,
2018,4-Seam Fastball,94.6,hit_into_play,1.0,2007.0,single
2018,4-Seam Fastball,95.4,ball,12.0,2235.0,
2018,4-Seam Fastball,95.5,ball,14.0,2121.0,walk
2018,4-Seam Fastball,94.0,ball,11.0,2108.0,
2018,4-Seam Fastball,96.4,ball,11.0,2088.0,
2018,Sweeper,80.0,ball,1.0,2321.0,
2018,Sweeper,81.2,hit_into_play,7.0,2295.0,home_run
2018,4-Seam Fastball,96.2,foul,8.0,2118.0,
2018,4-Seam Fastball,97.0,blocked_ball,14.0,2141.0,
2018,Sweeper,82.0,blocked_ball,14.0,2312.0,
2018,Sweeper,80.4,called_strike,6.0,2186.0,
2018,Sweeper,79.9,ball,14.0,2172.0,
2018,4-Seam Fastball,96.0,hit_into_play,5.0,2018.0,single
2018,Sweeper,77.3,swinging_strike,14.0,2245.0,
2018,4-Seam Fastball,92.9,ball,11.0,1912.0,
2018,Sweeper,81.1,hit_into_play,8.0,2415.0,field_out
2018,Split-Finger,88.3,blocked_ball,14.0,1141.0,
2018,Sweeper,81.6,foul,5.0,2286.0,
2018,Curveball,76.1,hit_by_pitch,11.0,2232.0,hit_by_pitch
2018,4-Seam Fastball,96.6,called_strike,8.0,2220.0,
2018,4-Seam Fastball,96.4,hit_into_play,8.0,2118.0,field_out
2018,Curveball,76.8,hit_into_play,5.0,2449.0,field_out
2018,4-Seam Fastball,95.8,called_strike,14.0,2102.0,
2018,4-Seam Fastball,93.6,foul,2.0,2077.0,
2018,4-Seam Fastball,96.3,hit_into_play,6.0,2156.0,single
2018,4-Seam Fastball,95.8,ball,11.0,2174.0,
2018,4-Seam Fastball,96.5,called_strike,7.0,2073.0,
2018,4-Seam Fastball,97.0,ball,13.0,2108.0,
2018,4-Seam Fastball,98.4,hit_into_play,9.0,2136.0,single
2018,Sweeper,82.3,foul,8.0,2457.0,
2018,Sweeper,83.0,ball,12.0,2407.0,
2018,Sweeper,83.2,foul,14.0,2324.0,
2018,4-Seam Fastball,98.8,ball,13.0,2177.0,
2018,4-Seam Fastball,97.3,foul,5.0,2036.0,
2018,Curveball,75.0,ball,11.0,2371.0,
2018,Sweeper,83.8,swinging_strike,14.0,2359.0,strikeout
2018,4-Seam Fastball,97.5,ball,11.0,2095.0,
2018,4-Seam Fastball,97.5,foul,14.0,2270.0,
2018,4-Seam Fastball,95.9,called_strike,14.0,1975.0,
2018,Curveball,74.3,ball,14.0,2374.0,
2018,4-Seam Fastball,96.0,hit_into_play,6.0,2087.0,field_out
2018,Sweeper,85.0,swinging_strike,14.0,2403.0,strikeout
2018,4-Seam Fastball,99.0,called_strike,9.0,2190.0,
2018,Sweeper,83.8,ball,14.0,2449.0,
2018,Sweeper,83.6,blocked_ball,14.0,2362.0,
